Année,Pays,Code Pays,"Espérance de vie à la naissance, hommes (années)",Dépenses publiques générales de santé (% des dépenses courantes de santé)
2000,Afrique du Sud,ZAF,55.415,36.59454346
2000,Allemagne,DEU,75,78.20057678
2000,Brésil,BRA,66.347,41.63555527
2000,Canada,CAN,76.64,72.85163879
2000,Chine,CHN,69.85,21.97528839
2000,Chili,CHL,74.021,35.79472351
2000,Corée du Sud,KOR,72.3,50.6124382
2000,Côte d'Ivoire,CIV,50.313,14.66436768
2000,Espagne,ESP,75.6,71.62882996
2000,France,FRA,75.3,72.7290802
2000,Inde,IND,61.76,20.68014336
2000,Indonésie,IDN,64.61,29.66810417
2000,Iran,IRN,67.839,37.70975113
2000,Japon,JPN,77.72,80.43052673
2000,Maroc,MAR,65.13,25.35758781
2000,Mexique,MEX,70.139,45.21740723
2000,Nigeria,NGA,46.255,18.31479263
2000,Pérou,PER,68.148,53.02311325
2000,Royaume-Uni,GBR,75.4,75.79853058
2000,Russie,RUS,59.03,59.35673141
2000,Sénégal,SEN,56.091,35.28704834
2000,Suède,SWE,77.4,84.47544098
2000,Suisse,CHE,76.9,28.56611252
2000,Togo,TGO,53.842,10.710289
2000,Turquie,TUR,68.679,61.67596436
2000,États-Unis,USA,74.1,44.377491
2001,Afrique du Sud,ZAF,54.583,33.73316193
2001,Allemagne,DEU,75.5,78.17251587
2001,Brésil,BRA,66.699,41.08930588
2001,Canada,CAN,76.92,72.80158234
2001,Chine,CHN,70.235,22.91764259
2001,Chili,CHL,74.491,36.36408615
2001,Corée du Sud,KOR,72.9,54.16914368
2001,Côte d'Ivoire,CIV,50.432,12.79208946
2001,Espagne,ESP,76.1,71.29899597
2001,France,FRA,75.5,72.75836945
2001,Inde,IND,62.102,18.87691307
2001,Indonésie,IDN,64.899,36.45111847
2001,Iran,IRN,68.309,38.25937271
2001,Japon,JPN,78.07,80.96408081
2001,Maroc,MAR,65.551,26.27703476
2001,Mexique,MEX,70.562,43.75762177
2001,Nigeria,NGA,46.869,26.89140511
2001,Pérou,PER,68.59,52.43683243
2001,Royaume-Uni,GBR,75.7,75.8004303
2001,Russie,RUS,58.92,58.04123306
2001,Sénégal,SEN,56.559,38.45635605
2001,Suède,SWE,77.6,82.15294647
2001,Suisse,CHE,77.4,29.96567726
2001,Togo,TGO,54.071,11.58038902
2001,Turquie,TUR,69.034,67.25136566
2001,États-Unis,USA,74.3,45.32390976
2002,Afrique du Sud,ZAF,53.215,34.52814102
2002,Allemagne,DEU,75.4,77.82165527
2002,Brésil,BRA,67.085,42.38710403
2002,Canada,CAN,77.16,72.43798828
2002,Chine,CHN,70.587,25.38583565
2002,Chili,CHL,74.682,37.54184723
2002,Corée du Sud,KOR,73.4,54.75157166
2002,Côte d'Ivoire,CIV,50.621,13.84633636
2002,Espagne,ESP,76.3,71.31015778
2002,France,FRA,75.7,73.0019989
2002,Inde,IND,62.515,18.1644249
2002,Indonésie,IDN,65.229,34.0422821
2002,Iran,IRN,68.835,39.26384735
2002,Japon,JPN,78.32,80.75297546
