Code_Pays;Pays;Années;IDH
ZAF;Afrique du Sud;2000;0.618
ZAF;Afrique du Sud;2001;0.613
ZAF;Afrique du Sud;2002;0.614
ZAF;Afrique du Sud;2003;0.61
ZAF;Afrique du Sud;2004;0.613
ZAF;Afrique du Sud;2005;0.616
ZAF;Afrique du Sud;2006;0.622
ZAF;Afrique du Sud;2007;0.632
ZAF;Afrique du Sud;2008;0.643
ZAF;Afrique du Sud;2009;0.657
ZAF;Afrique du Sud;2010;0.669
ZAF;Afrique du Sud;2011;0.683
ZAF;Afrique du Sud;2012;0.696
ZAF;Afrique du Sud;2013;0.705
ZAF;Afrique du Sud;2014;0.713
ZAF;Afrique du Sud;2015;0.722
ZAF;Afrique du Sud;2016;0.722
ZAF;Afrique du Sud;2017;0.726
ZAF;Afrique du Sud;2018;0.732
ZAF;Afrique du Sud;2019;0.742
ZAF;Afrique du Sud;2020;0.724
ZAF;Afrique du Sud;2021;0.721
DEU;Allemagne;2000;0.897
DEU;Allemagne;2001;0.904
DEU;Allemagne;2002;0.909
DEU;Allemagne;2003;0.914
DEU;Allemagne;2004;0.923
DEU;Allemagne;2005;0.923
DEU;Allemagne;2006;0.927
DEU;Allemagne;2007;0.931
DEU;Allemagne;2008;0.933
DEU;Allemagne;2009;0.933
DEU;Allemagne;2010;0.936
DEU;Allemagne;2011;0.942
DEU;Allemagne;2012;0.944
DEU;Allemagne;2013;0.945
DEU;Allemagne;2014;0.949
DEU;Allemagne;2015;0.948
DEU;Allemagne;2016;0.949
DEU;Allemagne;2017;0.951
DEU;Allemagne;2018;0.952
DEU;Allemagne;2019;0.957
DEU;Allemagne;2020;0.955
DEU;Allemagne;2021;0.958
BRA;Brésil;2000;0.69
BRA;Brésil;2001;0.694
BRA;Brésil;2002;0.7
BRA;Brésil;2003;0.705
BRA;Brésil;2004;0.712
BRA;Brésil;2005;0.718
BRA;Brésil;2006;0.725
BRA;Brésil;2007;0.732
BRA;Brésil;2008;0.739
BRA;Brésil;2009;0.742
BRA;Brésil;2010;0.748
BRA;Brésil;2011;0.753
BRA;Brésil;2012;0.758
BRA;Brésil;2013;0.762
BRA;Brésil;2014;0.765
BRA;Brésil;2015;0.764
BRA;Brésil;2016;0.765
BRA;Brésil;2017;0.77
BRA;Brésil;2018;0.774
BRA;Brésil;2019;0.776
BRA;Brésil;2020;0.77
BRA;Brésil;2021;0.768
CAN;Canada;2000;0.894
CAN;Canada;2001;0.897
CAN;Canada;2002;0.899
CAN;Canada;2003;0.902
CAN;Canada;2004;0.906
CAN;Canada;2005;0.909
CAN;Canada;2006;0.913
CAN;Canada;2007;0.914
CAN;Canada;2008;0.916
CAN;Canada;2009;0.915
CAN;Canada;2010;0.918
CAN;Canada;2011;0.921
CAN;Canada;2012;0.927
CAN;Canada;2013;0.93
CAN;Canada;2014;0.932
CAN;Canada;2015;0.932
CAN;Canada;2016;0.933
CAN;Canada;2017;0.935
CAN;Canada;2018;0.935
CAN;Canada;2019;0.937
CAN;Canada;2020;0.931
CAN;Canada;2021;0.937
CHL;Chili;2000;0.771
CHL;Chili;2001;0.778
CHL;Chili;2002;0.784
CHL;Chili;2003;0.789
CHL;Chili;2004;0.797
CHL;Chili;2005;0.804
CHL;Chili;2006;0.804
CHL;Chili;2007;0.812
CHL;Chili;2008;0.82
CHL;Chili;2009;0.819
CHL;Chili;2010;0.823
CHL;Chili;2011;0.823
CHL;Chili;2012;0.832
CHL;Chili;2013;0.845
CHL;Chili;2014;0.849
CHL;Chili;2015;0.855
CHL;Chili;2016;0.859
CHL;Chili;2017;0.862
CHL;Chili;2018;0.866
CHL;Chili;2019;0.867
CHL;Chili;2020;0.856
CHL;Chili;2021;0.865
HKG;Chine;2000;0.839
HKG;Chine;2001;0.847
HKG;Chine;2002;0.854
HKG;Chine;2003;0.861
HKG;Chine;2004;0.866
HKG;Chine;2005;0.872
HKG;Chine;2006;0.879
HKG;Chine;2007;0.891
HKG;Chine;2008;0.907
HKG;Chine;2009;0.909
HKG;Chine;2010;0.912
HKG;Chine;2011;0.918
HKG;Chine;2012;0.923
HKG;Chine;2013;0.928
HKG;Chine;2014;0.932
HKG;Chine;2015;0.937
HKG;Chine;2016;0.94
HKG;Chine;2017;0.946
HKG;Chine;2018;0.952
HKG;Chine;2019;0.952
HKG;Chine;2020;0.95
HKG;Chine;2021;0.961
KOR;Corée du Sud;2000;0.83
KOR;Corée du Sud;2001;0.838
KOR;Corée du Sud;2002;0.846
KOR;Corée du Sud;2003;0.852
KOR;Corée du Sud;2004;0.859
KOR;Corée du Sud;2005;0.866
KOR;Corée du Sud;2006;0.871
KOR;Corée du Sud;2007;0.876
KOR;Corée du Sud;2008;0.878
KOR;Corée du Sud;2009;0.881
KOR;Corée du Sud;2010;0.894
KOR;Corée du Sud;2011;0.899
KOR;Corée du Sud;2012;0.901
KOR;Corée du Sud;2013;0.905
KOR;Corée du Sud;2014;0.91
KOR;Corée du Sud;2015;0.914
KOR;Corée du Sud;2016;0.918
KOR;Corée du Sud;2017;0.922
KOR;Corée du Sud;2018;0.924
KOR;Corée du Sud;2019;0.927
KOR;Corée du Sud;2020;0.928
KOR;Corée du Sud;2021;0.933
CIV;Côte d'Ivoire;2000;0.419
CIV;Côte d'Ivoire;2001;0.422
CIV;Côte d'Ivoire;2002;0.424
CIV;Côte d'Ivoire;2003;0.425
CIV;Côte d'Ivoire;2004;0.43
CIV;Côte d'Ivoire;2005;0.435
CIV;Côte d'Ivoire;2006;0.44
CIV;Côte d'Ivoire;2007;0.445
CIV;Côte d'Ivoire;2008;0.452
CIV;Côte d'Ivoire;2009;0.458
CIV;Côte d'Ivoire;2010;0.465
CIV;Côte d'Ivoire;2011;0.469
CIV;Côte d'Ivoire;2012;0.478
CIV;Côte d'Ivoire;2013;0.487
CIV;Côte d'Ivoire;2014;0.511
CIV;Côte d'Ivoire;2015;0.519
CIV;Côte d'Ivoire;2016;0.53
CIV;Côte d'Ivoire;2017;0.539
CIV;Côte d'Ivoire;2018;0.545
CIV;Côte d'Ivoire;2019;0.552
CIV;Côte d'Ivoire;2020;0.553
CIV;Côte d'Ivoire;2021;0.557
ESP;Espagne;2000;0.833
ESP;Espagne;2001;0.839
ESP;Espagne;2002;0.844
ESP;Espagne;2003;0.846
ESP;Espagne;2004;0.852
ESP;Espagne;2005;0.857
ESP;Espagne;2006;0.862
ESP;Espagne;2007;0.864
ESP;Espagne;2008;0.865
ESP;Espagne;2009;0.867
ESP;Espagne;2010;0.875
ESP;Espagne;2011;0.879
ESP;Espagne;2012;0.881
ESP;Espagne;2013;0.886
ESP;Espagne;2014;0.89
ESP;Espagne;2015;0.895
ESP;Espagne;2016;0.9
ESP;Espagne;2017;0.902
ESP;Espagne;2018;0.905
ESP;Espagne;2019;0.91
ESP;Espagne;2020;0.901
ESP;Espagne;2021;0.912
FRA;France;2000;0.852
FRA;France;2001;0.855
FRA;France;2002;0.858
FRA;France;2003;0.862
FRA;France;2004;0.869
FRA;France;2005;0.877
FRA;France;2006;0.881
FRA;France;2007;0.884
FRA;France;2008;0.884
FRA;France;2009;0.883
FRA;France;2010;0.888
FRA;France;2011;0.892
FRA;France;2012;0.893
FRA;France;2013;0.896
FRA;France;2014;0.9
FRA;France;2015;0.901
FRA;France;2016;0.905
FRA;France;2017;0.908
FRA;France;2018;0.911
FRA;France;2019;0.914
FRA;France;2020;0.909
FRA;France;2021;0.915
IND;Inde;2000;0.501
IND;Inde;2001;0.511
IND;Inde;2002;0.516
IND;Inde;2003;0.529
IND;Inde;2004;0.538
IND;Inde;2005;0.547
IND;Inde;2006;0.557
IND;Inde;2007;0.566
IND;Inde;2008;0.574
IND;Inde;2009;0.579
IND;Inde;2010;0.59
IND;Inde;2011;0.603
IND;Inde;2012;0.609
IND;Inde;2013;0.615
IND;Inde;2014;0.625
IND;Inde;2015;0.633
IND;Inde;2016;0.644
IND;Inde;2017;0.649
IND;Inde;2018;0.648
IND;Inde;2019;0.651
IND;Inde;2020;0.652
IND;Inde;2021;0.647
IDN;Indonésie;2000;0.6
IDN;Indonésie;2001;0.608
IDN;Indonésie;2002;0.617
IDN;Indonésie;2003;0.625
IDN;Indonésie;2004;0.624
IDN;Indonésie;2005;0.638
IDN;Indonésie;2006;0.646
IDN;Indonésie;2007;0.649
IDN;Indonésie;2008;0.653
IDN;Indonésie;2009;0.663
IDN;Indonésie;2010;0.67
IDN;Indonésie;2011;0.678
IDN;Indonésie;2012;0.686
IDN;Indonésie;2013;0.69
IDN;Indonésie;2014;0.693
IDN;Indonésie;2015;0.701
IDN;Indonésie;2016;0.705
IDN;Indonésie;2017;0.712
IDN;Indonésie;2018;0.715
IDN;Indonésie;2019;0.714
IDN;Indonésie;2020;0.71
IDN;Indonésie;2021;0.707
IRN;Iran;2000;0.71
IRN;Iran;2001;0.719
IRN;Iran;2002;0.727
IRN;Iran;2003;0.732
IRN;Iran;2004;0.741
IRN;Iran;2005;0.746
IRN;Iran;2006;0.757
IRN;Iran;2007;0.761
IRN;Iran;2008;0.765
IRN;Iran;2009;0.771
IRN;Iran;2010;0.778
IRN;Iran;2011;0.787
IRN;Iran;2012;0.795
IRN;Iran;2013;0.794
IRN;Iran;2014;0.795
IRN;Iran;2015;0.788
IRN;Iran;2016;0.791
IRN;Iran;2017;0.793
IRN;Iran;2018;0.79
IRN;Iran;2019;0.787
IRN;Iran;2020;0.775
IRN;Iran;2021;0.777
JPN;Japon;2000;0.889
JPN;Japon;2001;0.892
JPN;Japon;2002;0.894
JPN;Japon;2003;0.896
JPN;Japon;2004;0.899
JPN;Japon;2005;0.9
JPN;Japon;2006;0.903
JPN;Japon;2007;0.905
JPN;Japon;2008;0.905
JPN;Japon;2009;0.905
JPN;Japon;2010;0.907
JPN;Japon;2011;0.906
JPN;Japon;2012;0.909
JPN;Japon;2013;0.912
JPN;Japon;2014;0.914
